index,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
8068,Backbreaker,X360,2010.0,Sports,505 Games,0.17,0.0,0.0,0.01,0.18,54.0,29.0,7.6,68.0,NaturalMotion,E
8151,Twisted Metal: Small Brawl,PS,2001.0,Action,Sony Interactive Entertainment,0.1,0.07,0.0,0.01,0.18,51.0,14.0,7.6,49.0,Incognito Inc.,T
8152,Otomedius Excellent,X360,2011.0,Shooter,Konami,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0,Konami,T
8198,NBA Starting Five,PS2,2002.0,Sports,Konami,0.09,0.07,0.0,0.02,0.18,53.0,10.0,7.3,7.0,Konami,E
8213,Teen Titans,GBA,2005.0,Action,Majesco,0.13,0.05,0.0,0.0,0.17,61.0,9.0,tbd,,Artificial Mind and Movement,E10+
8251,Trauma Team,Wii,2010.0,Simulation,Atlus,0.14,0.0,0.02,0.01,0.17,82.0,29.0,8.8,25.0,Atlus,T
8261,Backbreaker,PS3,2009.0,Sports,505 Games,0.16,0.0,0.0,0.01,0.17,58.0,25.0,7,52.0,NaturalMotion,E
8317,Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.12,0.05,0.0,0.0,0.17,,,,,,
8320,James Cameron's Dark Angel,PS2,2002.0,Action,Universal Interactive,0.08,0.07,0.0,0.02,0.17,48.0,17.0,6.5,19.0,Radical Entertainment,T
8328,Codename: Kids Next Door: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.12,0.05,0.0,0.0,0.17,,,,,,
8358,Teenage Mutant Ninja Turtles: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.12,0.04,0.0,0.0,0.17,,,,,,
8365,Sword of the Samurai,PS2,1989.0,Fighting,Ubisoft,0.0,0.0,0.17,0.0,0.17,,,,,,
8494,Stronghold 3,PC,2011.0,Strategy,Firefly Studios,0.06,0.1,0.0,0.0,0.16,47.0,29.0,3,350.0,FireFly Studios,T
"8501,Splatterhouse,PS3,1988.0,Action,Namco Bandai Games,0.13,0.02,0.0,0.02,0.16,59.0,49.0,7.7,67.0,""Namco Bandai Games America, Namco Bandai Games"",M"
8548,Alone in the Dark: The New Nightmare,PS,2001.0,Adventure,Infogrames,0.09,0.06,0.0,0.01,0.16,77.0,15.0,8.1,40.0,Darkworks,M
8633,Vegas Party,Wii,2009.0,Misc,Storm City Games,0.15,0.0,0.0,0.01,0.16,33.0,6.0,tbd,,Storm City Games,T
8681,Jurassic Park: The Game,X360,2011.0,Action,Telltale Games,0.15,0.0,0.0,0.01,0.16,60.0,9.0,3.6,138.0,Telltale Games,T
8741,Home Run,2600,1978.0,Sports,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
8754,Cartoon Network Collection: Game Boy Advance Video Special Edition,GBA,2005.0,Misc,Majesco,0.11,0.04,0.0,0.0,0.15,,,,,,
8837,Pokémon: Johto Photo Finish: Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.11,0.04,0.0,0.0,0.15,,,,,,
8883,Strawberry Shortcake: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Majesco,0.11,0.04,0.0,0.0,0.15,,,,,,
8885,eJay Clubworld,PS2,2003.0,Misc,Empire Interactive,0.07,0.06,0.0,0.02,0.15,69.0,5.0,8.6,10.0,UDS,E
8919,All-Star Baseball 2005,XB,2004.0,Sports,Acclaim Entertainment,0.11,0.03,0.0,0.01,0.15,75.0,31.0,8.8,12.0,Acclaim,E
9044,Bejeweled 3,PS3,2010.0,Puzzle,PopCap Games,0.13,0.0,0.0,0.02,0.14,76.0,5.0,8.2,5.0,PopCap,E
9120,Our House Party!,Wii,2009.0,Simulation,Majesco,0.13,0.0,0.0,0.01,0.14,,,,,,
9152,WCW Backstage Assault,N64,2000.0,Action,Electronic Arts,0.11,0.03,0.0,0.0,0.14,,,,,,
9219,Bejeweled 3,X360,2011.0,Puzzle,PopCap Games,0.13,0.0,0.0,0.01,0.14,78.0,13.0,8.4,11.0,PopCap,E
9294,Disney's Cinderella: Magical Dreams,GBA,2005.0,Platform,Disney Interactive Studios,0.1,0.04,0.0,0.0,0.14,69.0,7.0,tbd,,Culture Brain,E
9381,Transworld Surf,XB,2001.0,Sports,Atari,0.1,0.03,0.0,0.0,0.13,76.0,25.0,tbd,,Rockstar San Diego,T
9486,Street Fighter IV,PC,2008.0,Fighting,Capcom,0.07,0.05,0.0,0.02,0.13,91.0,23.0,8,352.0,Capcom,T
9511,Farming Simulator 2011,PC,2010.0,Simulation,Astragon,0.0,0.13,0.0,0.0,0.13,,,7,23.0,Giants Software,E
9517,Nintendo Puzzle Collection,GC,2003.0,Puzzle,Nintendo,0.0,0.0,0.13,0.0,0.13,,,,,,
9665,Charm Girls Club: My Fashion Mall,DS,2009.0,Simulation,Electronic Arts,0.12,0.0,0.0,0.01,0.12,,,tbd,,Electronic Arts,E
9704,Record of Agarest War Zero,PS3,2009.0,Strategy,Ghostlight,0.09,0.0,0.03,0.01,0.12,50.0,8.0,6.7,37.0,Compile Heart,T
9707,Rocksmith,PC,2013.0,Misc,Ubisoft,0.06,0.04,0.0,0.01,0.12,78.0,5.0,8.1,57.0,Ubisoft,T
9739,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,2012.0,Strategy,Bandai Namco Games,0.0,0.0,0.12,0.0,0.12,,,,,,
9762,Saru! Get You! Million Monkeys,PS2,2006.0,Platform,Sony Computer Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
9818,Street Hoops,GC,2002.0,Sports,Activision,0.09,0.02,0.0,0.0,0.12,56.0,9.0,7.3,7.0,Black Ops Entertainment,T
9828,WRC: FIA World Rally Championship,X360,2010.0,Racing,Black Bean Games,0.0,0.1,0.0,0.02,0.12,66.0,24.0,6,4.0,Milestone S.r.l,E10+
"9831,Godzilla: Destroy All Monsters Melee,XB,2002.0,Fighting,Infogrames,0.09,0.03,0.0,0.0,0.12,71.0,20.0,6.8,8.0,""Pipeworks Software, Inc."",T"
9856,The Daring Game for Girls,DS,2010.0,Adventure,Majesco,0.11,0.0,0.0,0.01,0.12,,,tbd,,WXP,E
9877,Major League Baseball 2K6,PSP,2006.0,Sports,2K,0.11,0.0,0.0,0.01,0.12,69.0,5.0,tbd,,Visual Concepts,E
10051,Star Trek: Conquest,PS2,2007.0,Strategy,Bethesda Softworks,0.06,0.04,0.0,0.01,0.11,54.0,15.0,9.1,10.0,4J Studios,E
10259,GiFTPiA,GC,2003.0,Role-Playing,Nintendo,0.0,0.0,0.11,0.0,0.11,,,,,,
10318,Happy Feet Two,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.11,,,,,,
10378,Disney Channel Collection Vol. 1,GBA,2004.0,Misc,Majesco,0.08,0.03,0.0,0.0,0.11,,,,,,
